Id,SalePrice
1101,56546.12
1102,116706.07
1103,137112.4
1104,126600.55
1105,133280.9
1106,340730.88
1107,193382.16
1108,210542.86
1109,181800.61
1110,300541.5
1111,181101.56
1112,228280.56
1113,113233.33
1114,128019.195
1115,110303.43
1116,287124.56
1117,146147.53
1118,129247.46
1119,152045.81
1120,117059.96
1121,114228.74
1122,233343.31
1123,111120.15
1124,82137.76
1125,144071.33
1126,140358.66
1127,214436.03
1128,230617.45
1129,202259.73
1130,158980.0
1131,240851.47
1132,103222.555
1133,200363.2
1134,230247.77
1135,175799.72
1136,116150.3
1137,133589.47
1138,82691.45
1139,259327.31
1140,138884.84
1141,161637.23
1142,212862.75
1143,385994.44
1144,107736.69
1145,107386.12
1146,152464.11
1147,190592.22
1148,148095.67
1149,95685.6
1150,148749.64
1151,99068.016
1152,203617.22
1153,157881.66
1154,110935.55
1155,232222.9
1156,213573.47
1157,173145.83
1158,213945.36
1159,229404.67
1160,214682.78
1161,150760.02
1162,230180.34
1163,126348.89
1164,173225.7
1165,199000.75
1166,219149.06
1167,245593.84
1168,193527.17
1169,234866.94
1170,477306.1
1171,146213.78
1172,177867.92
1173,140444.94
1174,238649.88
1175,225008.62
1176,336480.03
1177,131681.19
1178,114056.38
1179,124255.98
1180,52708.24
1181,288685.8
1182,255497.6
1183,536808.94
1184,179625.4
1185,284678.47
1186,119797.65
1187,184751.12
1188,239540.92
1189,187746.86
1190,192651.98
1191,280920.1
1192,170133.97
1193,130700.445
1194,202473.84
1195,160507.45
1196,153338.66
1197,209820.58
1198,132670.23
1199,174224.67
1200,166559.03
1201,103594.9
1202,198520.44
1203,116314.28
1204,227130.92
1205,155649.81
1206,309402.53
1207,149704.81
1208,240175.3
1209,151465.94
1210,276194.16
1211,225825.72
1212,184423.83
1213,92723.41
1214,118963.086
1215,137716.03
1216,114663.95
1217,141166.55
1218,205612.25
1219,51997.344
1220,107622.06
1221,110426.77
1222,134020.33
1223,197588.16
1224,287410.72
1225,176524.28
1226,125084.22
1227,219748.84
1228,162079.67
1229,344305.03
1230,169456.38
1231,244112.11
1232,169142.17
1233,93729.164
1234,176642.56
1235,173691.78
1236,168241.03
1237,162279.2
1238,201344.55
1239,145308.19
1240,200987.92
1241,206646.94
1242,251079.97
1243,168768.83
1244,342550.03
1245,156645.06
1246,200088.66
1247,173241.81
1248,180962.94
1249,169726.39
1250,123994.086
1251,288285.88
1252,195205.77
1253,111660.79
1254,215408.88
1255,177867.47
1256,163997.12
1257,333730.22
1258,91475.4
1259,156558.77
1260,152405.12
1261,188619.75
1262,134306.48
1263,183554.0
1264,170951.98
1265,191966.05
1266,160768.97
1267,159518.62
1268,279758.3
1269,381771.72
1270,167436.84
1271,219715.28
1272,181187.1
1273,128879.95
1274,164797.61
1275,138521.44
1276,217899.88
1277,178338.44
1278,230247.17
1279,246502.3
1280,119220.84
1281,225316.12
1282,197508.94
1283,158144.5
1284,160217.28
1285,220148.02
1286,135052.6
1287,196538.92
1288,256167.06
1289,239985.23
1290,280970.88
1291,176179.55
1292,130820.914
1293,234801.64
1294,194818.27
1295,123587.086
1296,161130.23
1297,164899.4
1298,127702.07
1299,815918.0
1300,154800.78
1301,230760.12
1302,155915.25
1303,329991.28
1304,255623.22
1305,173499.1
1306,307338.88
1307,186074.06
1308,146644.69
1309,134907.73
1310,197583.62
1311,259203.67
1312,202562.56
1313,355960.22
1314,336361.53
1315,126936.4
1316,230134.27
1317,255998.83
1318,190023.39
1319,262313.0
1320,119962.21
1321,193997.72
1322,57056.965
1323,213585.28
1324,68589.16
1325,282813.22
1326,71138.76
1327,54903.586
1328,110415.77
1329,355956.66
1330,173907.64
1331,255052.56
1332,135937.95
1333,110980.61
1334,125231.54
1335,158367.7
1336,205536.6
1337,247772.17
1338,69568.66
1339,216827.4
1340,110956.305
1341,115876.1
1342,166146.81
1343,265582.88
1344,175160.22
1345,154103.12
1346,108179.18
1347,232475.58
1348,236511.81
1349,229082.94
1350,157891.34
1351,325638.16
1352,206060.83
1353,144258.16
1354,434833.22
1355,244343.02
1356,183501.23
1357,112037.68
1358,152288.72
1359,163965.55
1360,305893.56
1361,219283.44
1362,216304.36
1363,158979.25
1364,146712.73
1365,126887.625
1366,195706.14
1367,211920.83
1368,148105.88
1369,133841.61
1370,225212.02
1371,127662.01
1372,186607.31
1373,262887.7
1374,451209.97
1375,257259.97
1376,221666.42
1377,102263.46
1378,186801.05
1379,105734.25
1380,131795.12
1381,94841.555
1382,227878.38
1383,151125.67
1384,151720.9
1385,121311.78
1386,131205.19
1387,311623.9
1388,195529.61
1389,280639.7
1390,134406.17
1391,248446.03
1392,227464.62
1393,134554.66
1394,163626.97
1395,226415.97
1396,283623.75
1397,184925.47
1398,131640.98
1399,170815.19
1400,160237.86
1401,110295.16
1402,178161.03
1403,189170.73
1404,236867.89
1405,158041.6
1406,258876.42
1407,115129.29
1408,94882.88
1409,150267.98
1410,225851.12
1411,214728.58
1412,156174.95
1413,81422.49
1414,291236.28
1415,187921.27
1416,233070.81
1417,205774.5
1418,357656.8
1419,134392.06
1420,248142.1
1421,211410.25
1422,152577.19
1423,133678.55
1424,215747.19
1425,168469.88
1426,172022.81
1427,284169.03
1428,160847.11
1429,103702.305
1430,194183.28
1431,189952.48
1432,142562.83
1433,94877.43
1434,199764.6
1435,173373.6
1436,188532.72
1437,128576.56
1438,317858.3
1439,175874.1
1440,161381.17
1441,218447.44
1442,133630.78
1443,264349.06
1444,114274.77
1445,205829.1
1446,85083.86
1447,177490.03
1448,269841.03
1449,137818.5
1450,67322.35
1451,155534.47
1452,236155.77
1453,125957.6
1454,124205.484
1455,164621.22
1456,175331.55
1457,256349.5
1458,210502.9
1459,123892.1
1460,189290.78
